industry_code,industry_label,quarter,recruitment_rate,recruitment_margin_of_error,vacancy_rate,vacancy_margin_of_error
A,"companies in agriculture, forestry and fishing",2015K2,..,..,..,..
A,"companies in agriculture, forestry and fishing",2015K3,..,..,..,..
A,"companies in agriculture, forestry and fishing",2015K4,..,..,..,..
A,"companies in agriculture, forestry and fishing",2016K1,..,..,..,..
A,"companies in agriculture, forestry and fishing",2016K2,..,..,..,..
A,"companies in agriculture, forestry and fishing",2016K3,..,..,..,..
A,"companies in agriculture, forestry and fishing",2016K4,..,..,..,..
A,"companies in agriculture, forestry and fishing",2017K1,..,..,..,..
A,"companies in agriculture, forestry and fishing",2017K2,1.5,0.8,0.8,0.7
A,"companies in agriculture, forestry and fishing",2017K3,..,..,..,..
A,"companies in agriculture, forestry and fishing",2017K4,..,..,..,..
A,"companies in agriculture, forestry and fishing",2018K1,..,..,..,..
A,"companies in agriculture, forestry and fishing",2018K2,..,..,..,..
A,"companies in agriculture, forestry and fishing",2018K3,..,..,..,..
A,"companies in agriculture, forestry and fishing",2018K4,..,..,..,..
A,"companies in agriculture, forestry and fishing",2019K1,..,..,..,..
A,"companies in agriculture, forestry and fishing",2019K2,..,..,..,..
A,"companies in agriculture, forestry and fishing",2019K3,..,..,..,..
A,"companies in agriculture, forestry and fishing",2019K4,..,..,..,..
A,"companies in agriculture, forestry and fishing",2020K1,..,..,..,..
A,"companies in agriculture, forestry and fishing",2020K2,..,..,..,..
A,"companies in agriculture, forestry and fishing",2020K3,..,..,..,..
A,"companies in agriculture, forestry and fishing",2020K4,..,..,..,..
A,"companies in agriculture, forestry and fishing",2021K1,..,..,..,..
A,"companies in agriculture, forestry and fishing",2021K2,..,..,..,..
A,"companies in agriculture, forestry and fishing",2021K3,..,..,..,..
A,"companies in agriculture, forestry and fishing",2021K4,..,..,..,..
A,"companies in agriculture, forestry and fishing",2022K1,..,..,..,..
A,"companies in agriculture, forestry and fishing",2022K2,..,..,..,..
A,"companies in agriculture, forestry and fishing",2022K3,..,..,..,..
A,"companies in agriculture, forestry and fishing",2022K4,..,..,..,..
A,"companies in agriculture, forestry and fishing",2023K1,..,..,..,..
A,"companies in agriculture, forestry and fishing",2023K2,..,..,..,..
A,"companies in agriculture, forestry and fishing",2023K3,..,..,..,..
A,"companies in agriculture, forestry and fishing",2023K4,..,..,..,..
A,"companies in agriculture, forestry and fishing",2024K1,..,..,..,..
A-S,"total, business sector",2015K2,2.1,0.2,0.8,0.1
A-S,"total, business sector",2015K3,1.8,0.2,0.8,0.1
A-S,"total, business sector",2015K4,1.9,0.1,0.9,0.1
A-S,"total, business sector",2016K1,2.4,0.2,0.9,0.1
A-S,"total, business sector",2016K2,2.4,0.2,0.9,0.1
A-S,"total, business sector",2016K3,2.0,0.1,0.9,0.1
A-S,"total, business sector",2016K4,2.1,0.1,1.1,0.1
A-S,"total, business sector",2017K1,2.7,0.2,1.1,0.1
A-S,"total, business sector",2017K2,2.6,0.2,1.1,0.1
A-S,"total, business sector",2017K3,2.3,0.1,1.0,0.1
A-S,"total, business sector",2017K4,2.4,0.2,1.1,0.1
A-S,"total, business sector",2018K1,3.0,0.2,1.3,0.1
A-S,"total, business sector",2018K2,2.9,0.2,1.3,0.1
A-S,"total, business sector",2018K3,2.4,0.2,1.1,0.1
A-S,"total, business sector",2018K4,2.4,0.1,1.1,0.1
A-S,"total, business sector",2019K1,2.8,0.2,1.1,0.1
A-S,"total, business sector",2019K2,2.7,0.2,1.1,0.1
A-S,"total, business sector",2019K3,2.2,0.2,1.0,0.1
A-S,"total, business sector",2019K4,2.1,0.1,1.0,0.1
A-S,"total, business sector",2020K1,2.5,0.2,0.9,0.1
A-S,"total, business sector",2020K2,1.5,0.1,0.6,0.1
A-S,"total, business sector",2020K3,1.5,0.1,0.5,0.1
A-S,"total, business sector",2020K4,1.6,0.1,0.7,0.1
A-S,"total, business sector",2021K1,2.0,0.1,0.7,0.1
A-S,"total, business sector",2021K2,2.6,0.1,1.1,0.1
A-S,"total, business sector",2021K3,2.5,0.1,1.2,0.1
A-S,"total, business sector",2021K4,2.7,0.1,1.3,0.1
A-S,"total, business sector",2022K1,3.5,0.2,1.6,0.1
A-S,"total, business sector",2022K2,3.7,0.2,1.6,0.1
A-S,"total, business sector",2022K3,3.1,0.2,1.6,0.1
A-S,"total, business sector",2022K4,2.7,0.1,1.3,0.1
A-S,"total, business sector",2023K1,3.4,0.3,1.4,0.1
A-S,"total, business sector",2023K2,3.0,0.2,1.3,0.1
A-S,"total, business sector",2023K3,2.3,0.1,1.1,0.1
A-S,"total, business sector",2023K4,2.1,0.1,1.0,0.1
A-S,"total, business sector",2024K1,2.5,0.1,0.9,0.1
B+C,"mining, quarrying, manufacturing ",2015K2,1.3,0.1,0.4,0.1
B+C,"mining, quarrying, manufacturing ",2015K3,0.8,0.1,0.4,0.1
B+C,"mining, quarrying, manufacturing ",2015K4,1.1,0.1,0.5,0.1
B+C,"mining, quarrying, manufacturing ",2016K1,1.8,0.1,0.5,0.1
B+C,"mining, quarrying, manufacturing ",2016K2,1.6,0.2,0.5,0.1
B+C,"mining, quarrying, manufacturing ",2016K3,1.2,0.1,0.6,0.1
B+C,"mining, quarrying, manufacturing ",2016K4,1.4,0.1,0.6,0.1
B+C,"mining, quarrying, manufacturing ",2017K1,2.1,0.1,0.7,0.1
B+C,"mining, quarrying, manufacturing ",2017K2,2.1,0.1,0.9,0.1
B+C,"mining, quarrying, manufacturing ",2017K3,1.7,0.1,0.8,0.1
B+C,"mining, quarrying, manufacturing ",2017K4,1.8,0.1,0.9,0.1
B+C,"mining, quarrying, manufacturing ",2018K1,2.4,0.2,0.9,0.1
B+C,"mining, quarrying, manufacturing ",2018K2,2.2,0.1,0.9,0.1
B+C,"mining, quarrying, manufacturing ",2018K3,1.8,0.2,0.9,0.1
B+C,"mining, quarrying, manufacturing ",2018K4,1.9,0.2,0.8,0.1
B+C,"mining, quarrying, manufacturing ",2019K1,2.6,0.1,0.8,0.1
B+C,"mining, quarrying, manufacturing ",2019K2,2.4,0.1,0.7,0.1
B+C,"mining, quarrying, manufacturing ",2019K3,1.5,0.1,0.6,0.1
B+C,"mining, quarrying, manufacturing ",2019K4,1.5,0.1,0.7,0.1
B+C,"mining, quarrying, manufacturing ",2020K1,2.3,0.2,0.7,0.1
B+C,"mining, quarrying, manufacturing ",2020K2,1.2,0.1,0.4,0.0
B+C,"mining, quarrying, manufacturing ",2020K3,1.0,0.1,0.4,0.1
B+C,"mining, quarrying, manufacturing ",2020K4,1.2,0.1,0.5,0.1
B+C,"mining, quarrying, manufacturing ",2021K1,2.1,0.1,0.6,0.1
B+C,"mining, quarrying, manufacturing ",2021K2,2.0,0.1,0.7,0.1
B+C,"mining, quarrying, manufacturing ",2021K3,2.0,0.1,0.9,0.1
B+C,"mining, quarrying, manufacturing ",2021K4,2.3,0.2,1.1,0.1
B+C,"mining, quarrying, manufacturing ",2022K1,3.1,0.2,1.2,0.1
B+C,"mining, quarrying, manufacturing ",2022K2,2.9,0.2,1.2,0.1
B+C,"mining, quarrying, manufacturing ",2022K3,2.4,0.1,1.2,0.1
B+C,"mining, quarrying, manufacturing ",2022K4,2.4,0.2,1.3,0.1
B+C,"mining, quarrying, manufacturing ",2023K1,3.2,0.3,1.4,0.2
B+C,"mining, quarrying, manufacturing ",2023K2,2.5,0.2,1.2,0.1
B+C,"mining, quarrying, manufacturing ",2023K3,2.2,0.6,1.3,0.4
B+C,"mining, quarrying, manufacturing ",2023K4,1.8,0.2,0.9,0.1
B+C,"mining, quarrying, manufacturing ",2024K1,2.9,0.2,1.0,0.1
D+E,energy and environmental companies,2015K2,2.5,0.4,0.9,0.2
D+E,energy and environmental companies,2015K3,2.1,0.6,0.8,0.3
D+E,energy and environmental companies,2015K4,1.8,0.3,0.7,0.2
D+E,energy and environmental companies,2016K1,2.1,0.5,0.7,0.2
D+E,energy and environmental companies,2016K2,2.7,0.8,1.0,0.5
D+E,energy and environmental companies,2016K3,1.8,0.3,0.8,0.2
D+E,energy and environmental companies,2016K4,2.3,0.4,0.9,0.2
D+E,energy and environmental companies,2017K1,2.6,0.5,1.0,0.2
D+E,energy and environmental companies,2017K2,2.3,0.4,0.7,0.2
D+E,energy and environmental companies,2017K3,2.6,0.6,1.0,0.3
D+E,energy and environmental companies,2017K4,2.5,0.4,0.8,0.2
D+E,energy and environmental companies,2018K1,3.0,0.5,1.2,0.3
D+E,energy and environmental companies,2018K2,2.4,0.4,0.9,0.2
D+E,energy and environmental companies,2018K3,2.5,0.6,1.1,0.4
D+E,energy and environmental companies,2018K4,3.1,0.6,1.3,0.3
D+E,energy and environmental companies,2019K1,2.8,0.5,0.9,0.2
D+E,energy and environmental companies,2019K2,3.4,0.7,1.2,0.5
D+E,energy and environmental companies,2019K3,2.7,0.4,1.2,0.3
D+E,energy and environmental companies,2019K4,2.8,0.4,1.1,0.3
D+E,energy and environmental companies,2020K1,3.5,0.5,1.4,0.3
D+E,energy and environmental companies,2020K2,3.0,0.5,1.0,0.2
D+E,energy and environmental companies,2020K3,2.4,0.4,0.9,0.1
D+E,energy and environmental companies,2020K4,2.5,0.3,1.0,0.1
D+E,energy and environmental companies,2021K1,2.6,0.4,0.9,0.1
D+E,energy and environmental companies,2021K2,3.7,0.7,0.9,0.1
D+E,energy and environmental companies,2021K3,3.0,0.5,1.0,0.3
D+E,energy and environmental companies,2021K4,3.6,0.5,1.2,0.2
D+E,energy and environmental companies,2022K1,4.6,0.7,1.5,0.3
D+E,energy and environmental companies,2022K2,5.1,0.7,1.5,0.3
D+E,energy and environmental companies,2022K3,4.6,0.6,1.5,0.2
D+E,energy and environmental companies,2022K4,5.2,0.7,1.7,0.3
D+E,energy and environmental companies,2023K1,5.1,0.6,1.8,0.3
D+E,energy and environmental companies,2023K2,5.1,0.7,1.5,0.3
D+E,energy and environmental companies,2023K3,4.0,0.8,1.2,0.3
D+E,energy and environmental companies,2023K4,4.6,0.8,1.4,0.3
D+E,energy and environmental companies,2024K1,4.9,0.9,1.2,0.2
F,construction industry,2015K2,1.6,0.5,0.9,0.4
F,construction industry,2015K3,1.5,0.4,0.8,0.2
F,construction industry,2015K4,1.3,0.4,1.0,0.4
F,construction industry,2016K1,1.5,0.4,1.0,0.3
F,construction industry,2016K2,2.1,0.5,1.4,0.5
F,construction industry,2016K3,1.7,0.5,1.0,0.3
F,construction industry,2016K4,2.0,0.6,1.4,0.6
F,construction industry,2017K1,1.5,0.4,0.8,0.3
F,construction industry,2017K2,2.2,0.6,1.2,0.4
F,construction industry,2017K3,1.8,0.5,1.1,0.3
F,construction industry,2017K4,1.8,0.5,1.2,0.3
F,construction industry,2018K1,2.3,0.5,1.5,0.4
F,construction industry,2018K2,1.9,0.5,1.1,0.3
F,construction industry,2018K3,1.7,0.5,1.0,0.3
F,construction industry,2018K4,2.1,0.6,1.4,0.4
F,construction industry,2019K1,1.4,0.4,0.9,0.3
F,construction industry,2019K2,2.2,0.6,1.6,0.5
F,construction industry,2019K3,2.2,0.8,1.3,0.6
F,construction industry,2019K4,1.6,0.5,1.0,0.4
F,construction industry,2020K1,1.5,0.5,0.8,0.3
F,construction industry,2020K2,1.3,0.5,0.8,0.4
F,construction industry,2020K3,1.0,0.4,0.4,0.2
F,construction industry,2020K4,1.2,0.4,0.7,0.3
F,construction industry,2021K1,1.1,0.3,0.5,0.2
F,construction industry,2021K2,1.9,0.5,1.2,0.4
F,construction industry,2021K3,1.6,0.4,0.9,0.3
F,construction industry,2021K4,2.1,0.5,1.4,0.4
F,construction industry,2022K1,2.5,0.7,1.6,0.5
F,construction industry,2022K2,3.0,0.7,2.2,0.6
F,construction industry,2022K3,2.8,0.7,1.9,0.6
F,construction industry,2022K4,1.7,0.5,1.2,0.5
F,construction industry,2023K1,2.2,0.8,1.5,0.7
F,construction industry,2023K2,2.1,0.6,1.2,0.4
F,construction industry,2023K3,1.3,0.4,0.8,0.3
F,construction industry,2023K4,1.1,0.4,0.6,0.3
F,construction industry,2024K1,0.9,0.3,0.5,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2015K2,1.6,0.3,0.6,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2015K3,1.5,0.4,0.7,0.3
G,trade; repair establishments for motor vehicles and motorcycles,2015K4,1.5,0.3,0.7,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2016K1,1.8,0.3,0.8,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2016K2,1.9,0.4,0.6,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2016K3,1.4,0.3,0.6,0.1
G,trade; repair establishments for motor vehicles and motorcycles,2016K4,1.9,0.3,0.9,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2017K1,2.4,0.4,0.9,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2017K2,2.2,0.6,1.0,0.5
G,trade; repair establishments for motor vehicles and motorcycles,2017K3,2.0,0.4,0.9,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2017K4,2.2,0.4,1.0,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2018K1,3.0,0.5,1.1,0.3
G,trade; repair establishments for motor vehicles and motorcycles,2018K2,2.5,0.4,1.1,0.3
G,trade; repair establishments for motor vehicles and motorcycles,2018K3,1.7,0.3,0.8,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2018K4,1.7,0.3,0.7,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2019K1,2.3,0.4,0.8,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2019K2,1.8,0.3,0.8,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2019K3,1.5,0.2,0.6,0.1
G,trade; repair establishments for motor vehicles and motorcycles,2019K4,1.6,0.3,0.7,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2020K1,2.0,0.4,0.8,0.3
G,trade; repair establishments for motor vehicles and motorcycles,2020K2,1.4,0.4,0.5,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2020K3,1.2,0.3,0.4,0.1
G,trade; repair establishments for motor vehicles and motorcycles,2020K4,1.4,0.3,0.5,0.1
G,trade; repair establishments for motor vehicles and motorcycles,2021K1,1.8,0.2,0.6,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2021K2,2.4,0.4,0.8,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2021K3,2.1,0.3,1.0,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2021K4,2.2,0.3,1.0,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2022K1,2.8,0.5,1.1,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2022K2,2.8,0.4,0.9,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2022K3,2.4,0.4,1.2,0.3
G,trade; repair establishments for motor vehicles and motorcycles,2022K4,2.2,0.4,1.1,0.3
G,trade; repair establishments for motor vehicles and motorcycles,2023K1,3.3,1.3,1.0,0.4
G,trade; repair establishments for motor vehicles and motorcycles,2023K2,2.7,0.4,1.1,0.3
G,trade; repair establishments for motor vehicles and motorcycles,2023K3,1.8,0.3,0.8,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2023K4,1.7,0.3,0.8,0.2
G,trade; repair establishments for motor vehicles and motorcycles,2024K1,2.0,0.3,0.6,0.2
H,transport and storage companies,2015K2,1.1,0.3,0.3,0.1
H,transport and storage companies,2015K3,1.0,0.3,0.4,0.2
H,transport and storage companies,2015K4,1.2,0.3,0.6,0.2
H,transport and storage companies,2016K1,1.6,0.4,0.5,0.2
H,transport and storage companies,2016K2,1.7,0.4,0.7,0.3
H,transport and storage companies,2016K3,1.3,0.3,0.6,0.2
H,transport and storage companies,2016K4,1.3,0.3,0.5,0.2
H,transport and storage companies,2017K1,1.9,0.4,0.6,0.2
H,transport and storage companies,2017K2,2.5,0.6,1.0,0.5
H,transport and storage companies,2017K3,1.6,0.4,0.8,0.3
H,transport and storage companies,2017K4,2.0,0.5,1.0,0.4
H,transport and storage companies,2018K1,2.6,0.6,1.1,0.3
H,transport and storage companies,2018K2,2.8,0.6,1.2,0.4
H,transport and storage companies,2018K3,2.7,1.2,1.0,0.3
H,transport and storage companies,2018K4,1.8,1.0,1.0,0.9
H,transport and storage companies,2019K1,2.2,0.4,0.9,0.3
H,transport and storage companies,2019K2,3.1,0.8,1.3,0.5
H,transport and storage companies,2019K3,2.4,0.8,1.0,0.5
H,transport and storage companies,2019K4,1.5,0.5,0.6,0.3
H,transport and storage companies,2020K1,1.9,0.5,0.5,0.2
H,transport and storage companies,2020K2,1.1,0.4,0.2,0.1
H,transport and storage companies,2020K3,1.0,0.4,0.3,0.2
H,transport and storage companies,2020K4,0.8,0.2,0.2,0.1
H,transport and storage companies,2021K1,1.2,0.4,0.3,0.2
H,transport and storage companies,2021K2,2.1,0.5,0.8,0.4
H,transport and storage companies,2021K3,1.5,0.4,0.6,0.3
H,transport and storage companies,2021K4,1.5,0.3,0.7,0.3
H,transport and storage companies,2022K1,2.3,0.6,1.0,0.4
H,transport and storage companies,2022K2,2.6,0.6,1.2,0.5
H,transport and storage companies,2022K3,2.0,0.4,0.9,0.2
H,transport and storage companies,2022K4,1.8,0.4,0.8,0.2
H,transport and storage companies,2023K1,2.4,0.5,0.9,0.3
H,transport and storage companies,2023K2,2.4,0.5,1.1,0.4
H,transport and storage companies,2023K3,2.1,0.5,1.1,0.4
H,transport and storage companies,2023K4,2.1,0.5,1.2,0.4
H,transport and storage companies,2024K1,2.1,0.5,1.0,0.4
I,hotels and restaurants,2015K2,3.0,1.3,1.2,1.0
I,hotels and restaurants,2015K3,2.4,1.1,0.9,0.5
I,hotels and restaurants,2015K4,2.4,1.1,0.6,0.5
I,hotels and restaurants,2016K1,2.5,0.9,1.0,0.6
I,hotels and restaurants,2016K2,2.2,0.9,0.7,0.4
I,hotels and restaurants,2016K3,2.3,1.0,0.9,0.7
I,hotels and restaurants,2016K4,1.6,0.7,0.6,0.4
I,hotels and restaurants,2017K1,3.3,1.3,1.2,0.8
I,hotels and restaurants,2017K2,2.9,1.5,0.9,0.6
I,hotels and restaurants,2017K3,1.8,0.6,0.6,0.4
I,hotels and restaurants,2017K4,1.6,0.6,0.8,0.5
I,hotels and restaurants,2018K1,2.0,1.0,1.0,0.5
I,hotels and restaurants,2018K2,2.3,0.8,1.1,0.6
I,hotels and restaurants,2018K3,1.9,0.7,0.6,0.5
I,hotels and restaurants,2018K4,2.0,0.7,0.5,0.3
I,hotels and restaurants,2019K1,3.1,1.1,1.3,0.7
I,hotels and restaurants,2019K2,3.3,1.2,1.0,0.7
I,hotels and restaurants,2019K3,2.6,0.9,1.2,0.7
I,hotels and restaurants,2019K4,1.2,0.6,0.4,0.3
I,hotels and restaurants,2020K1,2.4,1.1,0.2,0.1
I,hotels and restaurants,2020K2,0.4,0.3,0.0,0.0
I,hotels and restaurants,2020K3,0.8,0.4,0.1,0.1
