industry_code,industry_label,quarter,recruitment_rate,recruitment_margin_of_error,vacancy_rate,vacancy_margin_of_error
I,hotels and restaurants,2020K4,0.5,0.4,..,..
I,hotels and restaurants,2021K1,0.6,0.5,..,..
I,hotels and restaurants,2021K2,2.8,1.0,1.0,0.6
I,hotels and restaurants,2021K3,4.2,1.3,2.1,0.9
I,hotels and restaurants,2021K4,1.9,0.6,0.6,0.3
I,hotels and restaurants,2022K1,2.5,0.9,0.9,0.4
I,hotels and restaurants,2022K2,4.8,1.4,1.6,0.6
I,hotels and restaurants,2022K3,2.4,0.7,1.2,0.6
I,hotels and restaurants,2022K4,1.3,0.4,0.5,0.2
I,hotels and restaurants,2023K1,3.3,1.4,0.6,0.3
I,hotels and restaurants,2023K2,2.8,1.0,1.2,0.6
I,hotels and restaurants,2023K3,1.7,0.6,0.8,0.5
I,hotels and restaurants,2023K4,1.1,0.4,0.5,0.3
I,hotels and restaurants,2024K1,1.8,0.7,0.4,0.2
J,information and communication companies,2015K2,3.6,1.0,1.6,0.4
J,information and communication companies,2015K3,3.6,0.9,1.8,0.5
J,information and communication companies,2015K4,4.1,0.9,2.7,0.7
J,information and communication companies,2016K1,4.2,0.7,2.4,0.7
J,information and communication companies,2016K2,4.7,1.0,2.4,0.7
J,information and communication companies,2016K3,3.9,1.0,2.2,0.6
J,information and communication companies,2016K4,4.3,0.8,2.9,0.8
J,information and communication companies,2017K1,4.9,0.7,3.1,0.6
J,information and communication companies,2017K2,3.6,0.5,2.4,0.4
J,information and communication companies,2017K3,4.1,0.6,2.6,0.5
J,information and communication companies,2017K4,4.2,0.7,2.7,0.6
J,information and communication companies,2018K1,4.5,0.6,2.7,0.5
J,information and communication companies,2018K2,5.6,1.1,3.7,0.7
J,information and communication companies,2018K3,4.8,0.8,3.1,0.7
J,information and communication companies,2018K4,4.3,0.7,2.6,0.4
J,information and communication companies,2019K1,5.1,0.8,3.0,0.5
J,information and communication companies,2019K2,5.4,1.0,3.1,0.6
J,information and communication companies,2019K3,4.9,1.1,2.7,0.6
J,information and communication companies,2019K4,4.9,0.7,3.3,0.5
J,information and communication companies,2020K1,4.9,0.9,2.9,0.6
J,information and communication companies,2020K2,2.7,0.5,1.8,0.5
J,information and communication companies,2020K3,2.8,0.4,1.9,0.3
J,information and communication companies,2020K4,3.4,0.5,2.1,0.4
J,information and communication companies,2021K1,3.8,0.4,2.3,0.4
J,information and communication companies,2021K2,4.4,0.6,2.8,0.5
J,information and communication companies,2021K3,4.4,0.5,3.0,0.4
J,information and communication companies,2021K4,5.2,0.6,3.8,0.6
J,information and communication companies,2022K1,6.6,0.9,4.3,0.7
J,information and communication companies,2022K2,5.8,0.7,3.9,0.5
J,information and communication companies,2022K3,5.2,0.7,3.2,0.4
J,information and communication companies,2022K4,4.0,0.5,2.6,0.3
J,information and communication companies,2023K1,4.0,0.5,2.5,0.4
J,information and communication companies,2023K2,4.0,0.7,2.3,0.4
J,information and communication companies,2023K3,3.4,0.4,2.1,0.4
J,information and communication companies,2023K4,3.0,0.6,1.8,0.4
J,information and communication companies,2024K1,2.9,0.5,1.7,0.3
K+L,"real estate, financial and insurance activities",2015K2,1.9,0.4,0.9,0.3
K+L,"real estate, financial and insurance activities",2015K3,1.5,0.3,0.8,0.2
K+L,"real estate, financial and insurance activities",2015K4,1.9,0.3,0.9,0.3
K+L,"real estate, financial and insurance activities",2016K1,2.0,0.3,0.9,0.2
K+L,"real estate, financial and insurance activities",2016K2,1.7,0.3,0.9,0.1
K+L,"real estate, financial and insurance activities",2016K3,2.0,0.3,1.1,0.2
K+L,"real estate, financial and insurance activities",2016K4,2.2,0.4,1.2,0.3
K+L,"real estate, financial and insurance activities",2017K1,2.5,0.4,1.3,0.3
K+L,"real estate, financial and insurance activities",2017K2,2.3,0.4,1.2,0.3
K+L,"real estate, financial and insurance activities",2017K3,2.0,0.3,1.2,0.3
K+L,"real estate, financial and insurance activities",2017K4,2.3,0.3,1.2,0.3
K+L,"real estate, financial and insurance activities",2018K1,2.6,0.3,1.2,0.2
K+L,"real estate, financial and insurance activities",2018K2,2.8,0.4,1.4,0.2
K+L,"real estate, financial and insurance activities",2018K3,2.9,0.5,1.4,0.3
K+L,"real estate, financial and insurance activities",2018K4,2.5,0.5,1.3,0.5
K+L,"real estate, financial and insurance activities",2019K1,3.5,0.8,1.5,0.5
K+L,"real estate, financial and insurance activities",2019K2,2.1,0.3,0.8,0.1
K+L,"real estate, financial and insurance activities",2019K3,1.8,0.3,0.8,0.2
K+L,"real estate, financial and insurance activities",2019K4,2.1,0.3,1.1,0.3
K+L,"real estate, financial and insurance activities",2020K1,2.7,0.4,1.3,0.2
K+L,"real estate, financial and insurance activities",2020K2,1.8,0.3,0.8,0.2
K+L,"real estate, financial and insurance activities",2020K3,1.6,0.2,0.7,0.2
K+L,"real estate, financial and insurance activities",2020K4,1.8,0.2,0.8,0.2
K+L,"real estate, financial and insurance activities",2021K1,2.2,0.4,0.7,0.1
K+L,"real estate, financial and insurance activities",2021K2,2.4,0.4,0.9,0.2
K+L,"real estate, financial and insurance activities",2021K3,2.3,0.3,0.8,0.1
K+L,"real estate, financial and insurance activities",2021K4,2.8,0.4,1.1,0.2
K+L,"real estate, financial and insurance activities",2022K1,3.3,0.4,1.2,0.2
K+L,"real estate, financial and insurance activities",2022K2,2.9,0.4,1.3,0.3
K+L,"real estate, financial and insurance activities",2022K3,2.3,0.4,1.1,0.3
K+L,"real estate, financial and insurance activities",2022K4,3.0,0.6,1.5,0.3
K+L,"real estate, financial and insurance activities",2023K1,3.2,0.7,1.3,0.3
K+L,"real estate, financial and insurance activities",2023K2,2.4,0.4,1.1,0.2
K+L,"real estate, financial and insurance activities",2023K3,1.9,0.4,1.0,0.2
K+L,"real estate, financial and insurance activities",2023K4,1.9,0.3,0.9,0.2
K+L,"real estate, financial and insurance activities",2024K1,2.4,0.4,1.0,0.2
M,"professional, scientific and technical companies",2015K2,2.9,0.5,1.4,0.3
M,"professional, scientific and technical companies",2015K3,2.9,0.6,1.5,0.4
M,"professional, scientific and technical companies",2015K4,3.0,0.6,1.5,0.3
M,"professional, scientific and technical companies",2016K1,3.4,0.5,1.7,0.3
M,"professional, scientific and technical companies",2016K2,3.2,0.5,1.6,0.3
M,"professional, scientific and technical companies",2016K3,2.8,0.3,1.4,0.2
M,"professional, scientific and technical companies",2016K4,3.0,0.4,1.7,0.3
M,"professional, scientific and technical companies",2017K1,3.6,0.4,2.0,0.3
M,"professional, scientific and technical companies",2017K2,3.6,0.6,2.1,0.5
M,"professional, scientific and technical companies",2017K3,3.2,0.4,1.8,0.3
M,"professional, scientific and technical companies",2017K4,3.5,0.5,1.9,0.3
M,"professional, scientific and technical companies",2018K1,4.0,0.6,2.3,0.4
M,"professional, scientific and technical companies",2018K2,3.5,0.5,2.0,0.3
M,"professional, scientific and technical companies",2018K3,3.6,0.7,2.1,0.6
M,"professional, scientific and technical companies",2018K4,3.4,0.5,1.9,0.4
M,"professional, scientific and technical companies",2019K1,3.4,0.4,1.7,0.3
M,"professional, scientific and technical companies",2019K2,3.6,0.5,1.9,0.3
M,"professional, scientific and technical companies",2019K3,3.5,0.5,1.8,0.4
M,"professional, scientific and technical companies",2019K4,2.9,0.4,1.5,0.3
M,"professional, scientific and technical companies",2020K1,2.9,0.5,1.5,0.3
M,"professional, scientific and technical companies",2020K2,1.7,0.3,0.7,0.2
M,"professional, scientific and technical companies",2020K3,2.0,0.3,0.8,0.2
M,"professional, scientific and technical companies",2020K4,2.1,0.3,1.0,0.2
M,"professional, scientific and technical companies",2021K1,2.6,0.3,1.4,0.3
M,"professional, scientific and technical companies",2021K2,3.7,0.5,2.0,0.3
M,"professional, scientific and technical companies",2021K3,3.8,0.5,2.1,0.4
M,"professional, scientific and technical companies",2021K4,4.1,0.5,2.3,0.4
M,"professional, scientific and technical companies",2022K1,5.0,0.6,2.9,0.4
M,"professional, scientific and technical companies",2022K2,4.5,0.7,2.6,0.6
M,"professional, scientific and technical companies",2022K3,4.8,0.7,3.0,0.6
M,"professional, scientific and technical companies",2022K4,4.1,0.6,2.3,0.4
M,"professional, scientific and technical companies",2023K1,4.2,1.1,2.6,0.8
M,"professional, scientific and technical companies",2023K2,3.8,0.5,2.1,0.4
M,"professional, scientific and technical companies",2023K3,3.9,0.5,2.1,0.4
M,"professional, scientific and technical companies",2023K4,3.8,0.5,2.0,0.3
M,"professional, scientific and technical companies",2024K1,3.3,0.5,1.7,0.3
N,administrative and support service companies,2015K2,4.4,0.9,1.2,0.5
N,administrative and support service companies,2015K3,2.8,0.8,1.1,0.3
N,administrative and support service companies,2015K4,3.6,0.7,1.4,0.5
N,administrative and support service companies,2016K1,4.6,1.0,1.3,0.3
N,administrative and support service companies,2016K2,4.2,0.7,1.2,0.3
N,administrative and support service companies,2016K3,4.1,0.9,1.3,0.4
N,administrative and support service companies,2016K4,3.6,0.9,1.7,0.9
N,administrative and support service companies,2017K1,5.1,1.2,1.5,0.6
N,administrative and support service companies,2017K2,4.4,1.1,1.1,0.2
N,administrative and support service companies,2017K3,3.5,0.6,1.0,0.3
N,administrative and support service companies,2017K4,4.7,1.4,1.5,0.7
N,administrative and support service companies,2018K1,5.3,1.9,1.3,0.4
N,administrative and support service companies,2018K2,4.9,0.8,1.6,0.3
N,administrative and support service companies,2018K3,3.1,0.6,1.0,0.2
N,administrative and support service companies,2018K4,3.4,0.5,1.3,0.3
N,administrative and support service companies,2019K1,3.9,0.8,1.2,0.3
N,administrative and support service companies,2019K2,3.4,0.6,0.9,0.3
N,administrative and support service companies,2019K3,2.8,0.9,0.7,0.2
N,administrative and support service companies,2019K4,3.2,0.5,1.0,0.2
N,administrative and support service companies,2020K1,3.2,0.5,0.8,0.2
N,administrative and support service companies,2020K2,2.2,0.4,0.4,0.1
N,administrative and support service companies,2020K3,2.5,0.6,0.5,0.2
N,administrative and support service companies,2020K4,2.7,0.5,0.7,0.2
N,administrative and support service companies,2021K1,2.5,0.5,0.6,0.1
N,administrative and support service companies,2021K2,3.9,0.6,1.6,0.5
N,administrative and support service companies,2021K3,3.4,0.6,1.1,0.3
N,administrative and support service companies,2021K4,4.5,0.9,1.5,0.4
N,administrative and support service companies,2022K1,4.9,0.6,1.8,0.4
N,administrative and support service companies,2022K2,6.4,0.9,2.3,0.5
N,administrative and support service companies,2022K3,5.1,0.9,1.9,0.5
N,administrative and support service companies,2022K4,4.1,0.7,1.5,0.3
N,administrative and support service companies,2023K1,5.4,0.9,1.6,0.4
N,administrative and support service companies,2023K2,4.9,0.8,1.6,0.4
N,administrative and support service companies,2023K3,3.5,0.7,1.1,0.3
N,administrative and support service companies,2023K4,3.3,0.7,1.2,0.4
N,administrative and support service companies,2024K1,4.2,0.7,1.0,0.2
P+Q,"education, human health and social work activities",2015K2,2.0,0.4,0.5,0.2
P+Q,"education, human health and social work activities",2015K3,1.8,0.4,0.3,0.1
P+Q,"education, human health and social work activities",2015K4,1.8,0.4,0.5,0.1
P+Q,"education, human health and social work activities",2016K1,2.1,0.4,0.7,0.3
P+Q,"education, human health and social work activities",2016K2,2.6,0.8,0.5,0.2
P+Q,"education, human health and social work activities",2016K3,2.0,0.4,0.5,0.2
P+Q,"education, human health and social work activities",2016K4,1.9,0.4,0.5,0.1
P+Q,"education, human health and social work activities",2017K1,2.0,0.4,0.6,0.2
P+Q,"education, human health and social work activities",2017K2,2.2,0.3,0.5,0.1
P+Q,"education, human health and social work activities",2017K3,2.2,0.5,0.7,0.3
P+Q,"education, human health and social work activities",2017K4,1.6,0.3,0.4,0.2
P+Q,"education, human health and social work activities",2018K1,2.1,0.4,0.6,0.2
P+Q,"education, human health and social work activities",2018K2,2.2,0.4,0.6,0.2
P+Q,"education, human health and social work activities",2018K3,1.9,0.4,0.5,0.1
P+Q,"education, human health and social work activities",2018K4,1.8,0.4,0.6,0.2
P+Q,"education, human health and social work activities",2019K1,2.2,0.4,0.5,0.2
P+Q,"education, human health and social work activities",2019K2,2.6,0.5,0.7,0.2
P+Q,"education, human health and social work activities",2019K3,1.6,0.3,0.5,0.2
P+Q,"education, human health and social work activities",2019K4,1.6,0.3,0.4,0.2
P+Q,"education, human health and social work activities",2020K1,2.1,0.4,0.4,0.1
P+Q,"education, human health and social work activities",2020K2,1.5,0.3,0.3,0.1
P+Q,"education, human health and social work activities",2020K3,1.4,0.4,0.4,0.2
P+Q,"education, human health and social work activities",2020K4,1.5,0.3,0.4,0.1
P+Q,"education, human health and social work activities",2021K1,1.9,0.3,0.4,0.1
P+Q,"education, human health and social work activities",2021K2,2.0,0.3,0.4,0.2
P+Q,"education, human health and social work activities",2021K3,2.0,0.4,0.5,0.1
P+Q,"education, human health and social work activities",2021K4,1.7,0.3,0.5,0.1
P+Q,"education, human health and social work activities",2022K1,2.5,0.4,0.9,0.3
P+Q,"education, human health and social work activities",2022K2,3.1,0.5,0.9,0.3
P+Q,"education, human health and social work activities",2022K3,2.2,0.4,0.8,0.2
P+Q,"education, human health and social work activities",2022K4,2.4,0.4,0.8,0.2
P+Q,"education, human health and social work activities",2023K1,2.7,0.5,0.6,0.2
P+Q,"education, human health and social work activities",2023K2,2.6,0.5,0.7,0.2
P+Q,"education, human health and social work activities",2023K3,1.8,0.3,0.6,0.2
P+Q,"education, human health and social work activities",2023K4,1.7,0.4,0.4,0.1
P+Q,"education, human health and social work activities",2024K1,2.0,0.4,0.5,0.1
R+S,"art, entertainment, recreation and other service activities",2015K2,2.8,0.6,0.5,0.2
R+S,"art, entertainment, recreation and other service activities",2015K3,2.2,0.7,0.8,0.4
R+S,"art, entertainment, recreation and other service activities",2015K4,1.8,0.6,0.7,0.4
R+S,"art, entertainment, recreation and other service activities",2016K1,4.8,1.9,0.8,0.3
R+S,"art, entertainment, recreation and other service activities",2016K2,3.5,1.4,0.8,0.3
R+S,"art, entertainment, recreation and other service activities",2016K3,2.9,1.7,0.8,0.3
R+S,"art, entertainment, recreation and other service activities",2016K4,1.8,0.5,0.7,0.3
R+S,"art, entertainment, recreation and other service activities",2017K1,3.9,0.8,0.9,0.3
R+S,"art, entertainment, recreation and other service activities",2017K2,2.6,0.8,1.2,0.8
R+S,"art, entertainment, recreation and other service activities",2017K3,4.4,2.3,0.7,0.3
R+S,"art, entertainment, recreation and other service activities",2017K4,2.0,0.5,0.7,0.3
R+S,"art, entertainment, recreation and other service activities",2018K1,5.0,1.7,0.6,0.3
R+S,"art, entertainment, recreation and other service activities",2018K2,1.9,0.5,0.7,0.3
R+S,"art, entertainment, recreation and other service activities",2018K3,3.1,0.9,0.9,0.3
R+S,"art, entertainment, recreation and other service activities",2018K4,3.8,0.8,1.1,0.3
R+S,"art, entertainment, recreation and other service activities",2019K1,4.8,1.8,0.7,0.3
R+S,"art, entertainment, recreation and other service activities",2019K2,1.9,0.6,0.9,0.4
R+S,"art, entertainment, recreation and other service activities",2019K3,2.1,0.6,0.8,0.3
R+S,"art, entertainment, recreation and other service activities",2019K4,2.8,0.9,1.0,0.5
R+S,"art, entertainment, recreation and other service activities",2020K1,4.6,1.5,0.5,0.2
R+S,"art, entertainment, recreation and other service activities",2020K2,1.4,0.4,0.3,0.2
R+S,"art, entertainment, recreation and other service activities",2020K3,1.8,1.1,0.4,0.2
R+S,"art, entertainment, recreation and other service activities",2020K4,1.3,0.4,0.5,0.3
R+S,"art, entertainment, recreation and other service activities",2021K1,2.4,1.0,0.4,0.2
R+S,"art, entertainment, recreation and other service activities",2021K2,2.7,0.6,0.7,0.4
R+S,"art, entertainment, recreation and other service activities",2021K3,2.5,0.4,0.9,0.4
R+S,"art, entertainment, recreation and other service activities",2021K4,2.3,0.5,0.8,0.3
R+S,"art, entertainment, recreation and other service activities",2022K1,4.3,0.7,1.0,0.3
R+S,"art, entertainment, recreation and other service activities",2022K2,2.8,0.8,0.8,0.3
R+S,"art, entertainment, recreation and other service activities",2022K3,2.9,0.4,1.1,0.4
R+S,"art, entertainment, recreation and other service activities",2022K4,1.9,0.3,0.6,0.2
R+S,"art, entertainment, recreation and other service activities",2023K1,4.2,1.0,0.5,0.2
R+S,"art, entertainment, recreation and other service activities",2023K2,1.9,0.5,0.6,0.2
R+S,"art, entertainment, recreation and other service activities",2023K3,2.4,0.5,0.7,0.3
R+S,"art, entertainment, recreation and other service activities",2023K4,1.3,0.3,0.5,0.2
R+S,"art, entertainment, recreation and other service activities",2024K1,3.5,0.9,0.6,0.3
